epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7319,1.91263,1.98968,2.04341,0.67134,0.59534,0.62333,0.22459,2.19131,1.43373,2.26058,0.000554185,0.000554185,0.000554185
2,73.0621,1.69083,1.5171,1.78977,0.72886,0.65296,0.69678,0.28238,2.19718,1.28903,2.2544,0.00109886,0.00109886,0.00109886
3,108.823,1.63483,1.44075,1.72595,0.75521,0.68844,0.72933,0.27168,2.06683,1.29165,2.1272,0.00163254,0.00163254,0.00163254
4,144.691,1.60495,1.40862,1.7099,0.65578,0.70564,0.71835,0.29837,2.09172,1.26778,2.21634,0.00161749,0.00161749,0.00161749
5,180.953,1.56694,1.34657,1.66843,0.64499,0.64843,0.65159,0.24555,2.28745,1.35174,2.28777,0.00160099,0.00160099,0.00160099
6,218.184,1.53973,1.3011,1.6462,0.72316,0.67366,0.7043,0.28858,2.09927,1.2164,2.17884,0.00158448,0.00158448,0.00158448
7,254.507,1.50942,1.27304,1.62397,0.74716,0.6906,0.72045,0.28079,2.1763,1.26752,2.25082,0.00156798,0.00156798,0.00156798
8,294.125,1.49091,1.2423,1.60832,0.7552,0.68122,0.72819,0.30489,2.0802,1.21984,2.19464,0.00155148,0.00155148,0.00155148
9,343.678,1.48101,1.23239,1.60002,0.73334,0.68071,0.73375,0.28017,2.14653,1.20824,2.2282,0.00153497,0.00153497,0.00153497
10,378.272,1.44637,1.19591,1.5723,0.76461,0.70057,0.72894,0.29385,2.17965,1.18199,2.28384,0.00151847,0.00151847,0.00151847
11,418.04,1.43696,1.18012,1.55732,0.72817,0.70568,0.72417,0.29186,2.2152,1.19429,2.39149,0.00150197,0.00150197,0.00150197
12,453.405,1.43067,1.16429,1.55111,0.72843,0.69721,0.73047,0.28262,2.22519,1.19188,2.35578,0.00148546,0.00148546,0.00148546
13,487.772,1.42476,1.14966,1.54705,0.72625,0.7271,0.73643,0.28118,2.19465,1.1572,2.24662,0.00146896,0.00146896,0.00146896
14,530.914,1.39963,1.13124,1.52852,0.72385,0.69568,0.71398,0.27352,2.17007,1.19091,2.24095,0.00145246,0.00145246,0.00145246
15,583.536,1.39182,1.11953,1.52043,0.72543,0.71725,0.7413,0.29193,2.1247,1.18305,2.17418,0.00143595,0.00143595,0.00143595
16,635.576,1.37992,1.09901,1.51117,0.71778,0.73347,0.74449,0.29543,2.14536,1.15958,2.24097,0.00141945,0.00141945,0.00141945
17,687.299,1.37739,1.09895,1.50788,0.74806,0.68514,0.70178,0.25726,2.25337,1.25092,2.34923,0.00140295,0.00140295,0.00140295
18,739.435,1.37367,1.08308,1.49351,0.75253,0.70966,0.72811,0.29696,2.1489,1.18189,2.23543,0.00138644,0.00138644,0.00138644
19,791.724,1.35332,1.07668,1.48986,0.75324,0.70922,0.74131,0.29379,2.21786,1.17084,2.26792,0.00136994,0.00136994,0.00136994
20,843.585,1.34451,1.06232,1.47667,0.72891,0.72942,0.74438,0.29473,2.22217,1.19867,2.26812,0.00135344,0.00135344,0.00135344
21,895.482,1.34273,1.05591,1.47732,0.71286,0.74375,0.72725,0.27995,2.18897,1.15882,2.23297,0.00133693,0.00133693,0.00133693
22,946.965,1.32666,1.04625,1.46731,0.78089,0.69884,0.74817,0.28845,2.1416,1.1304,2.23753,0.00132043,0.00132043,0.00132043
23,998.545,1.32342,1.02885,1.45876,0.74118,0.70366,0.73153,0.27581,2.21245,1.2377,2.29346,0.00130393,0.00130393,0.00130393
24,1050.67,1.31155,1.02263,1.4505,0.68865,0.71591,0.71319,0.28421,2.2624,1.19132,2.31801,0.00128742,0.00128742,0.00128742
25,1103.2,1.3221,1.02269,1.46055,0.74888,0.7342,0.75178,0.3041,2.12633,1.10355,2.18335,0.00127092,0.00127092,0.00127092
26,1158.15,1.29574,1.00784,1.44452,0.74698,0.72641,0.73871,0.29477,2.21748,1.1631,2.33497,0.00125442,0.00125442,0.00125442
27,1206.14,1.29285,1.00011,1.43967,0.74683,0.7266,0.74687,0.28661,2.1535,1.16924,2.25234,0.00123791,0.00123791,0.00123791
28,1241.46,1.28931,0.9921,1.43436,0.7374,0.68667,0.71961,0.29296,2.1565,1.15828,2.23033,0.00122141,0.00122141,0.00122141
